属性标识符,时间(ms),时间,属性值,原始JSON
CO2Value,1780286889033,2026-06-01 12:08:09,464,"{""time"": 1780286889033, ""value"": ""464""}"
CO2Value,1780286894046,2026-06-01 12:08:14,462,"{""time"": 1780286894046, ""value"": ""462""}"
CO2Value,1780286899059,2026-06-01 12:08:19,463,"{""time"": 1780286899059, ""value"": ""463""}"
CO2Value,1780286904074,2026-06-01 12:08:24,462,"{""time"": 1780286904074, ""value"": ""462""}"
CO2Value,1780286909033,2026-06-01 12:08:29,460,"{""time"": 1780286909033, ""value"": ""460""}"
CO2Value,1780286914051,2026-06-01 12:08:34,461,"{""time"": 1780286914051, ""value"": ""461""}"
CO2Value,1780286919077,2026-06-01 12:08:39,458,"{""time"": 1780286919077, ""value"": ""458""}"
CO2Value,1780286924039,2026-06-01 12:08:44,459,"{""time"": 1780286924039, ""value"": ""459""}"
CO2Value,1780286929033,2026-06-01 12:08:49,458,"{""time"": 1780286929033, ""value"": ""458""}"
CO2Value,1780286934039,2026-06-01 12:08:54,458,"{""time"": 1780286934039, ""value"": ""458""}"
CO2Value,1780286939012,2026-06-01 12:08:59,457,"{""time"": 1780286939012, ""value"": ""457""}"
CO2Value,1780286944017,2026-06-01 12:09:04,458,"{""time"": 1780286944017, ""value"": ""458""}"
CO2Value,1780286949032,2026-06-01 12:09:09,457,"{""time"": 1780286949032, ""value"": ""457""}"
CO2Value,1780286954109,2026-06-01 12:09:14,457,"{""time"": 1780286954109, ""value"": ""457""}"
CO2Value,1780286959048,2026-06-01 12:09:19,456,"{""time"": 1780286959048, ""value"": ""456""}"
CO2Value,1780286964030,2026-06-01 12:09:24,455,"{""time"": 1780286964030, ""value"": ""455""}"
CO2Value,1780286969032,2026-06-01 12:09:29,456,"{""time"": 1780286969032, ""value"": ""456""}"
CO2Value,1780286974028,2026-06-01 12:09:34,457,"{""time"": 1780286974028, ""value"": ""457""}"
CO2Value,1780286979039,2026-06-01 12:09:39,456,"{""time"": 1780286979039, ""value"": ""456""}"
CO2Value,1780286984049,2026-06-01 12:09:44,457,"{""time"": 1780286984049, ""value"": ""457""}"
CO2Value,1780286989129,2026-06-01 12:09:49,460,"{""time"": 1780286989129, ""value"": ""460""}"
CO2Value,1780286994033,2026-06-01 12:09:54,463,"{""time"": 1780286994033, ""value"": ""463""}"
CO2Value,1780286999048,2026-06-01 12:09:59,464,"{""time"": 1780286999048, ""value"": ""464""}"
CO2Value,1780287004037,2026-06-01 12:10:04,463,"{""time"": 1780287004037, ""value"": ""463""}"
CO2Value,1780287009039,2026-06-01 12:10:09,462,"{""time"": 1780287009039, ""value"": ""462""}"
CO2Value,1780287014035,2026-06-01 12:10:14,464,"{""time"": 1780287014035, ""value"": ""464""}"
CO2Value,1780287019033,2026-06-01 12:10:19,464,"{""time"": 1780287019033, ""value"": ""464""}"
CO2Value,1780287024040,2026-06-01 12:10:24,465,"{""time"": 1780287024040, ""value"": ""465""}"
CO2Value,1780287029020,2026-06-01 12:10:29,464,"{""time"": 1780287029020, ""value"": ""464""}"
CO2Value,1780287034059,2026-06-01 12:10:34,463,"{""time"": 1780287034059, ""value"": ""463""}"
CO2Value,1780287039026,2026-06-01 12:10:39,461,"{""time"": 1780287039026, ""value"": ""461""}"
CO2Value,1780287044027,2026-06-01 12:10:44,463,"{""time"": 1780287044027, ""value"": ""463""}"
CO2Value,1780287049029,2026-06-01 12:10:49,464,"{""time"": 1780287049029, ""value"": ""464""}"
CO2Value,1780287054032,2026-06-01 12:10:54,465,"{""time"": 1780287054032, ""value"": ""465""}"
CO2Value,1780287059051,2026-06-01 12:10:59,464,"{""time"": 1780287059051, ""value"": ""464""}"
CO2Value,1780287064030,2026-06-01 12:11:04,465,"{""time"": 1780287064030, ""value"": ""465""}"
CO2Value,1780287069043,2026-06-01 12:11:09,463,"{""time"": 1780287069043, ""value"": ""463""}"
CO2Value,1780287074041,2026-06-01 12:11:14,461,"{""time"": 1780287074041, ""value"": ""461""}"
CO2Value,1780287079040,2026-06-01 12:11:19,461,"{""time"": 1780287079040, ""value"": ""461""}"
CO2Value,1780287084061,2026-06-01 12:11:24,460,"{""time"": 1780287084061, ""value"": ""460""}"
CO2Value,1780287089039,2026-06-01 12:11:29,461,"{""time"": 1780287089039, ""value"": ""461""}"
CO2Value,1780287094041,2026-06-01 12:11:34,461,"{""time"": 1780287094041, ""value"": ""461""}"
CO2Value,1780287099043,2026-06-01 12:11:39,460,"{""time"": 1780287099043, ""value"": ""460""}"
CO2Value,1780287104033,2026-06-01 12:11:44,461,"{""time"": 1780287104033, ""value"": ""461""}"
CO2Value,1780287109040,2026-06-01 12:11:49,462,"{""time"": 1780287109040, ""value"": ""462""}"
CO2Value,1780287114036,2026-06-01 12:11:54,464,"{""time"": 1780287114036, ""value"": ""464""}"
CO2Value,1780287119038,2026-06-01 12:11:59,463,"{""time"": 1780287119038, ""value"": ""463""}"
CO2Value,1780287124048,2026-06-01 12:12:04,463,"{""time"": 1780287124048, ""value"": ""463""}"
CO2Value,1780287129035,2026-06-01 12:12:09,463,"{""time"": 1780287129035, ""value"": ""463""}"
CO2Value,1780287134038,2026-06-01 12:12:14,465,"{""time"": 1780287134038, ""value"": ""465""}"
CO2Value,1780287139096,2026-06-01 12:12:19,464,"{""time"": 1780287139096, ""value"": ""464""}"
CO2Value,1780287144035,2026-06-01 12:12:24,466,"{""time"": 1780287144035, ""value"": ""466""}"
CO2Value,1780287149034,2026-06-01 12:12:29,465,"{""time"": 1780287149034, ""value"": ""465""}"
CO2Value,1780287154034,2026-06-01 12:12:34,466,"{""time"": 1780287154034, ""value"": ""466""}"
CO2Value,1780287159051,2026-06-01 12:12:39,466,"{""time"": 1780287159051, ""value"": ""466""}"
CO2Value,1780287164034,2026-06-01 12:12:44,465,"{""time"": 1780287164034, ""value"": ""465""}"
CO2Value,1780287169095,2026-06-01 12:12:49,466,"{""time"": 1780287169095, ""value"": ""466""}"
CO2Value,1780287174035,2026-06-01 12:12:54,466,"{""time"": 1780287174035, ""value"": ""466""}"
CO2Value,1780287179048,2026-06-01 12:12:59,466,"{""time"": 1780287179048, ""value"": ""466""}"
CO2Value,1780287184139,2026-06-01 12:13:04,466,"{""time"": 1780287184139, ""value"": ""466""}"
CO2Value,1780287189048,2026-06-01 12:13:09,467,"{""time"": 1780287189048, ""value"": ""467""}"
CO2Value,1780287194030,2026-06-01 12:13:14,468,"{""time"": 1780287194030, ""value"": ""468""}"
CO2Value,1780287199033,2026-06-01 12:13:19,467,"{""time"": 1780287199033, ""value"": ""467""}"
CO2Value,1780287204036,2026-06-01 12:13:24,469,"{""time"": 1780287204036, ""value"": ""469""}"
CO2Value,1780287209034,2026-06-01 12:13:29,468,"{""time"": 1780287209034, ""value"": ""468""}"
CO2Value,1780287214102,2026-06-01 12:13:34,467,"{""time"": 1780287214102, ""value"": ""467""}"
CO2Value,1780287219038,2026-06-01 12:13:39,469,"{""time"": 1780287219038, ""value"": ""469""}"
CO2Value,1780287224038,2026-06-01 12:13:44,470,"{""time"": 1780287224038, ""value"": ""470""}"
CO2Value,1780287229038,2026-06-01 12:13:49,471,"{""time"": 1780287229038, ""value"": ""471""}"
CO2Value,1780287234094,2026-06-01 12:13:54,472,"{""time"": 1780287234094, ""value"": ""472""}"
CO2Value,1780287239007,2026-06-01 12:13:59,477,"{""time"": 1780287239007, ""value"": ""477""}"
CO2Value,1780287244025,2026-06-01 12:14:04,475,"{""time"": 1780287244025, ""value"": ""475""}"
CO2Value,1780287249002,2026-06-01 12:14:09,473,"{""time"": 1780287249002, ""value"": ""473""}"
CO2Value,1780287254041,2026-06-01 12:14:14,472,"{""time"": 1780287254041, ""value"": ""472""}"
CO2Value,1780287259025,2026-06-01 12:14:19,469,"{""time"": 1780287259025, ""value"": ""469""}"
CO2Value,1780287264081,2026-06-01 12:14:24,467,"{""time"": 1780287264081, ""value"": ""467""}"
CO2Value,1780287269026,2026-06-01 12:14:29,467,"{""time"": 1780287269026, ""value"": ""467""}"
CO2Value,1780287274006,2026-06-01 12:14:34,467,"{""time"": 1780287274006, ""value"": ""467""}"
CO2Value,1780287279038,2026-06-01 12:14:39,463,"{""time"": 1780287279038, ""value"": ""463""}"
CO2Value,1780287284019,2026-06-01 12:14:44,463,"{""time"": 1780287284019, ""value"": ""463""}"
CO2Value,1780287289021,2026-06-01 12:14:49,464,"{""time"": 1780287289021, ""value"": ""464""}"
CO2Value,1780287294079,2026-06-01 12:14:54,468,"{""time"": 1780287294079, ""value"": ""468""}"
CO2Value,1780287299021,2026-06-01 12:14:59,468,"{""time"": 1780287299021, ""value"": ""468""}"
CO2Value,1780287304019,2026-06-01 12:15:04,467,"{""time"": 1780287304019, ""value"": ""467""}"
CO2Value,1780287309029,2026-06-01 12:15:09,467,"{""time"": 1780287309029, ""value"": ""467""}"
CO2Value,1780287314025,2026-06-01 12:15:14,464,"{""time"": 1780287314025, ""value"": ""464""}"
CO2Value,1780287319064,2026-06-01 12:15:19,464,"{""time"": 1780287319064, ""value"": ""464""}"
CO2Value,1780287324021,2026-06-01 12:15:24,462,"{""time"": 1780287324021, ""value"": ""462""}"
CO2Value,1780287329039,2026-06-01 12:15:29,464,"{""time"": 1780287329039, ""value"": ""464""}"
CO2Value,1780287334032,2026-06-01 12:15:34,465,"{""time"": 1780287334032, ""value"": ""465""}"
CO2Value,1780287339016,2026-06-01 12:15:39,465,"{""time"": 1780287339016, ""value"": ""465""}"
CO2Value,1780287344055,2026-06-01 12:15:44,464,"{""time"": 1780287344055, ""value"": ""464""}"
CO2Value,1780287349036,2026-06-01 12:15:49,463,"{""time"": 1780287349036, ""value"": ""463""}"
CO2Value,1780287354038,2026-06-01 12:15:54,462,"{""time"": 1780287354038, ""value"": ""462""}"
CO2Value,1780287359036,2026-06-01 12:15:59,396,"{""time"": 1780287359036, ""value"": ""396""}"
CO2Value,1780287364059,2026-06-01 12:16:04,400,"{""time"": 1780287364059, ""value"": ""400""}"
CO2Value,1780287369039,2026-06-01 12:16:09,402,"{""time"": 1780287369039, ""value"": ""402""}"
CO2Value,1780287374049,2026-06-01 12:16:14,402,"{""time"": 1780287374049, ""value"": ""402""}"
CO2Value,1780287379038,2026-06-01 12:16:19,406,"{""time"": 1780287379038, ""value"": ""406""}"
CO2Value,1780287384036,2026-06-01 12:16:24,406,"{""time"": 1780287384036, ""value"": ""406""}"
CO2Value,1780287389041,2026-06-01 12:16:29,407,"{""time"": 1780287389041, ""value"": ""407""}"
CO2Value,1780287394032,2026-06-01 12:16:34,409,"{""time"": 1780287394032, ""value"": ""409""}"
CO2Value,1780287399042,2026-06-01 12:16:39,410,"{""time"": 1780287399042, ""value"": ""410""}"
CO2Value,1780287404030,2026-06-01 12:16:44,413,"{""time"": 1780287404030, ""value"": ""413""}"
CO2Value,1780287409041,2026-06-01 12:16:49,413,"{""time"": 1780287409041, ""value"": ""413""}"
CO2Value,1780287414028,2026-06-01 12:16:54,416,"{""time"": 1780287414028, ""value"": ""416""}"
CO2Value,1780287419040,2026-06-01 12:16:59,417,"{""time"": 1780287419040, ""value"": ""417""}"
CO2Value,1780287424040,2026-06-01 12:17:04,417,"{""time"": 1780287424040, ""value"": ""417""}"
CO2Value,1780287429037,2026-06-01 12:17:09,419,"{""time"": 1780287429037, ""value"": ""419""}"
CO2Value,1780287434039,2026-06-01 12:17:14,420,"{""time"": 1780287434039, ""value"": ""420""}"
CO2Value,1780287439112,2026-06-01 12:17:19,420,"{""time"": 1780287439112, ""value"": ""420""}"
CO2Value,1780287444036,2026-06-01 12:17:24,423,"{""time"": 1780287444036, ""value"": ""423""}"
CO2Value,1780287449038,2026-06-01 12:17:29,425,"{""time"": 1780287449038, ""value"": ""425""}"
CO2Value,1780287454029,2026-06-01 12:17:34,428,"{""time"": 1780287454029, ""value"": ""428""}"
CO2Value,1780287459037,2026-06-01 12:17:39,429,"{""time"": 1780287459037, ""value"": ""429""}"
CO2Value,1780287464024,2026-06-01 12:17:44,428,"{""time"": 1780287464024, ""value"": ""428""}"
CO2Value,1780287469034,2026-06-01 12:17:49,430,"{""time"": 1780287469034, ""value"": ""430""}"
CO2Value,1780287474022,2026-06-01 12:17:54,431,"{""time"": 1780287474022, ""value"": ""431""}"
CO2Value,1780287479040,2026-06-01 12:17:59,434,"{""time"": 1780287479040, ""value"": ""434""}"
CO2Value,1780287484029,2026-06-01 12:18:04,435,"{""time"": 1780287484029, ""value"": ""435""}"
CO2Value,1780287489026,2026-06-01 12:18:09,434,"{""time"": 1780287489026, ""value"": ""434""}"
CO2Value,1780287494053,2026-06-01 12:18:14,436,"{""time"": 1780287494053, ""value"": ""436""}"
CO2Value,1780287499058,2026-06-01 12:18:19,436,"{""time"": 1780287499058, ""value"": ""436""}"
CO2Value,1780287504028,2026-06-01 12:18:24,435,"{""time"": 1780287504028, ""value"": ""435""}"
CO2Value,1780287509023,2026-06-01 12:18:29,435,"{""time"": 1780287509023, ""value"": ""435""}"
CO2Value,1780287514137,2026-06-01 12:18:34,435,"{""time"": 1780287514137, ""value"": ""435""}"
CO2Value,1780287519045,2026-06-01 12:18:39,436,"{""time"": 1780287519045, ""value"": ""436""}"
CO2Value,1780287524016,2026-06-01 12:18:44,438,"{""time"": 1780287524016, ""value"": ""438""}"
CO2Value,1780287529059,2026-06-01 12:18:49,439,"{""time"": 1780287529059, ""value"": ""439""}"
CO2Value,1780287534013,2026-06-01 12:18:54,441,"{""time"": 1780287534013, ""value"": ""441""}"
CO2Value,1780287539112,2026-06-01 12:18:59,443,"{""time"": 1780287539112, ""value"": ""443""}"
CO2Value,1780287544034,2026-06-01 12:19:04,446,"{""time"": 1780287544034, ""value"": ""446""}"
CO2Value,1780287549176,2026-06-01 12:19:09,447,"{""time"": 1780287549176, ""value"": ""447""}"
CO2Value,1780287554043,2026-06-01 12:19:14,448,"{""time"": 1780287554043, ""value"": ""448""}"
CO2Value,1780287559057,2026-06-01 12:19:19,449,"{""time"": 1780287559057, ""value"": ""449""}"
CO2Value,1780287564007,2026-06-01 12:19:24,448,"{""time"": 1780287564007, ""value"": ""448""}"
CO2Value,1780287569055,2026-06-01 12:19:29,448,"{""time"": 1780287569055, ""value"": ""448""}"
CO2Value,1780287574009,2026-06-01 12:19:34,452,"{""time"": 1780287574009, ""value"": ""452""}"
CO2Value,1780287579018,2026-06-01 12:19:39,455,"{""time"": 1780287579018, ""value"": ""455""}"
CO2Value,1780287584027,2026-06-01 12:19:44,453,"{""time"": 1780287584027, ""value"": ""453""}"
CO2Value,1780287589066,2026-06-01 12:19:49,453,"{""time"": 1780287589066, ""value"": ""453""}"
CO2Value,1780287594141,2026-06-01 12:19:54,454,"{""time"": 1780287594141, ""value"": ""454""}"
CO2Value,1780287599055,2026-06-01 12:19:59,456,"{""time"": 1780287599055, ""value"": ""456""}"
CO2Value,1780287604035,2026-06-01 12:20:04,456,"{""time"": 1780287604035, ""value"": ""456""}"
CO2Value,1780287609039,2026-06-01 12:20:09,457,"{""time"": 1780287609039, ""value"": ""457""}"
CO2Value,1780287614015,2026-06-01 12:20:14,462,"{""time"": 1780287614015, ""value"": ""462""}"
CO2Value,1780287619058,2026-06-01 12:20:19,462,"{""time"": 1780287619058, ""value"": ""462""}"
CO2Value,1780287624036,2026-06-01 12:20:24,463,"{""time"": 1780287624036, ""value"": ""463""}"
CO2Value,1780287629071,2026-06-01 12:20:29,464,"{""time"": 1780287629071, ""value"": ""464""}"
CO2Value,1780287634038,2026-06-01 12:20:34,464,"{""time"": 1780287634038, ""value"": ""464""}"
CO2Value,1780287639046,2026-06-01 12:20:39,465,"{""time"": 1780287639046, ""value"": ""465""}"
CO2Value,1780287644029,2026-06-01 12:20:44,467,"{""time"": 1780287644029, ""value"": ""467""}"
CO2Value,1780287649052,2026-06-01 12:20:49,466,"{""time"": 1780287649052, ""value"": ""466""}"
CO2Value,1780287654034,2026-06-01 12:20:54,464,"{""time"": 1780287654034, ""value"": ""464""}"
CO2Value,1780287659026,2026-06-01 12:20:59,464,"{""time"": 1780287659026, ""value"": ""464""}"
CO2Value,1780287664036,2026-06-01 12:21:04,465,"{""time"": 1780287664036, ""value"": ""465""}"
CO2Value,1780287669030,2026-06-01 12:21:09,464,"{""time"": 1780287669030, ""value"": ""464""}"
CO2Value,1780287674030,2026-06-01 12:21:14,465,"{""time"": 1780287674030, ""value"": ""465""}"
CO2Value,1780287679037,2026-06-01 12:21:19,465,"{""time"": 1780287679037, ""value"": ""465""}"
CO2Value,1780287684048,2026-06-01 12:21:24,467,"{""time"": 1780287684048, ""value"": ""467""}"
CO2Value,1780287689038,2026-06-01 12:21:29,465,"{""time"": 1780287689038, ""value"": ""465""}"
CO2Value,1780287694026,2026-06-01 12:21:34,466,"{""time"": 1780287694026, ""value"": ""466""}"
CO2Value,1780287699100,2026-06-01 12:21:39,468,"{""time"": 1780287699100, ""value"": ""468""}"
CO2Value,1780287704040,2026-06-01 12:21:44,470,"{""time"": 1780287704040, ""value"": ""470""}"
CO2Value,1780287709036,2026-06-01 12:21:49,469,"{""time"": 1780287709036, ""value"": ""469""}"
CO2Value,1780287714028,2026-06-01 12:21:54,467,"{""time"": 1780287714028, ""value"": ""467""}"
CO2Value,1780287719043,2026-06-01 12:21:59,467,"{""time"": 1780287719043, ""value"": ""467""}"
CO2Value,1780287724029,2026-06-01 12:22:04,468,"{""time"": 1780287724029, ""value"": ""468""}"
CO2Value,1780287729034,2026-06-01 12:22:09,469,"{""time"": 1780287729034, ""value"": ""469""}"
CO2Value,1780287734023,2026-06-01 12:22:14,470,"{""time"": 1780287734023, ""value"": ""470""}"
CO2Value,1780287739032,2026-06-01 12:22:19,470,"{""time"": 1780287739032, ""value"": ""470""}"
CO2Value,1780287744083,2026-06-01 12:22:24,470,"{""time"": 1780287744083, ""value"": ""470""}"
CO2Value,1780287749023,2026-06-01 12:22:29,470,"{""time"": 1780287749023, ""value"": ""470""}"
CO2Value,1780287754028,2026-06-01 12:22:34,468,"{""time"": 1780287754028, ""value"": ""468""}"
CO2Value,1780287759232,2026-06-01 12:22:39,467,"{""time"": 1780287759232, ""value"": ""467""}"
CO2Value,1780287764049,2026-06-01 12:22:44,470,"{""time"": 1780287764049, ""value"": ""470""}"
CO2Value,1780287769057,2026-06-01 12:22:49,470,"{""time"": 1780287769057, ""value"": ""470""}"
CO2Value,1780287774019,2026-06-01 12:22:54,472,"{""time"": 1780287774019, ""value"": ""472""}"
CO2Value,1780287779027,2026-06-01 12:22:59,472,"{""time"": 1780287779027, ""value"": ""472""}"
CO2Value,1780287784046,2026-06-01 12:23:04,470,"{""time"": 1780287784046, ""value"": ""470""}"
CO2Value,1780287789035,2026-06-01 12:23:09,470,"{""time"": 1780287789035, ""value"": ""470""}"
CO2Value,1780287794021,2026-06-01 12:23:14,472,"{""time"": 1780287794021, ""value"": ""472""}"
CO2Value,1780287799014,2026-06-01 12:23:19,473,"{""time"": 1780287799014, ""value"": ""473""}"
CO2Value,1780287803997,2026-06-01 12:23:23,472,"{""time"": 1780287803997, ""value"": ""472""}"
CO2Value,1780287809056,2026-06-01 12:23:29,473,"{""time"": 1780287809056, ""value"": ""473""}"
CO2Value,1780287814028,2026-06-01 12:23:34,473,"{""time"": 1780287814028, ""value"": ""473""}"
CO2Value,1780287819046,2026-06-01 12:23:39,470,"{""time"": 1780287819046, ""value"": ""470""}"
CO2Value,1780287824040,2026-06-01 12:23:44,471,"{""time"": 1780287824040, ""value"": ""471""}"
CO2Value,1780287829032,2026-06-01 12:23:49,470,"{""time"": 1780287829032, ""value"": ""470""}"
CO2Value,1780287834055,2026-06-01 12:23:54,472,"{""time"": 1780287834055, ""value"": ""472""}"
CO2Value,1780287839034,2026-06-01 12:23:59,475,"{""time"": 1780287839034, ""value"": ""475""}"
CO2Value,1780287844040,2026-06-01 12:24:04,475,"{""time"": 1780287844040, ""value"": ""475""}"
CO2Value,1780287849042,2026-06-01 12:24:09,474,"{""time"": 1780287849042, ""value"": ""474""}"
CO2Value,1780287854029,2026-06-01 12:24:14,474,"{""time"": 1780287854029, ""value"": ""474""}"
CO2Value,1780287859071,2026-06-01 12:24:19,480,"{""time"": 1780287859071, ""value"": ""480""}"
CO2Value,1780287863993,2026-06-01 12:24:23,481,"{""time"": 1780287863993, ""value"": ""481""}"
CO2Value,1780287869150,2026-06-01 12:24:29,481,"{""time"": 1780287869150, ""value"": ""481""}"
CO2Value,1780287874021,2026-06-01 12:24:34,481,"{""time"": 1780287874021, ""value"": ""481""}"
CO2Value,1780287879027,2026-06-01 12:24:39,477,"{""time"": 1780287879027, ""value"": ""477""}"
CO2Value,1780287884035,2026-06-01 12:24:44,475,"{""time"": 1780287884035, ""value"": ""475""}"
CO2Value,1780287889039,2026-06-01 12:24:49,475,"{""time"": 1780287889039, ""value"": ""475""}"
CO2Value,1780287894027,2026-06-01 12:24:54,474,"{""time"": 1780287894027, ""value"": ""474""}"
CO2Value,1780287899003,2026-06-01 12:24:59,473,"{""time"": 1780287899003, ""value"": ""473""}"
CO2Value,1780287904027,2026-06-01 12:25:04,472,"{""time"": 1780287904027, ""value"": ""472""}"
CO2Value,1780287909035,2026-06-01 12:25:09,474,"{""time"": 1780287909035, ""value"": ""474""}"
CO2Value,1780287914023,2026-06-01 12:25:14,475,"{""time"": 1780287914023, ""value"": ""475""}"
CO2Value,1780287919017,2026-06-01 12:25:19,476,"{""time"": 1780287919017, ""value"": ""476""}"
CO2Value,1780287924009,2026-06-01 12:25:24,478,"{""time"": 1780287924009, ""value"": ""478""}"
CO2Value,1780287929075,2026-06-01 12:25:29,480,"{""time"": 1780287929075, ""value"": ""480""}"
CO2Value,1780287934034,2026-06-01 12:25:34,482,"{""time"": 1780287934034, ""value"": ""482""}"
CO2Value,1780287939063,2026-06-01 12:25:39,482,"{""time"": 1780287939063, ""value"": ""482""}"
CO2Value,1780287944036,2026-06-01 12:25:44,481,"{""time"": 1780287944036, ""value"": ""481""}"
CO2Value,1780287949072,2026-06-01 12:25:49,481,"{""time"": 1780287949072, ""value"": ""481""}"
CO2Value,1780287954112,2026-06-01 12:25:54,480,"{""time"": 1780287954112, ""value"": ""480""}"
CO2Value,1780287959076,2026-06-01 12:25:59,483,"{""time"": 1780287959076, ""value"": ""483""}"
CO2Value,1780287964040,2026-06-01 12:26:04,483,"{""time"": 1780287964040, ""value"": ""483""}"
CO2Value,1780287969075,2026-06-01 12:26:09,481,"{""time"": 1780287969075, ""value"": ""481""}"
CO2Value,1780287974041,2026-06-01 12:26:14,480,"{""time"": 1780287974041, ""value"": ""480""}"
CO2Value,1780287979081,2026-06-01 12:26:19,482,"{""time"": 1780287979081, ""value"": ""482""}"
CO2Value,1780287984030,2026-06-01 12:26:24,481,"{""time"": 1780287984030, ""value"": ""481""}"
CO2Value,1780287989091,2026-06-01 12:26:29,480,"{""time"": 1780287989091, ""value"": ""480""}"
CO2Value,1780287994042,2026-06-01 12:26:34,480,"{""time"": 1780287994042, ""value"": ""480""}"
CO2Value,1780287999063,2026-06-01 12:26:39,479,"{""time"": 1780287999063, ""value"": ""479""}"
CO2Value,1780288004036,2026-06-01 12:26:44,480,"{""time"": 1780288004036, ""value"": ""480""}"
CO2Value,1780288009072,2026-06-01 12:26:49,480,"{""time"": 1780288009072, ""value"": ""480""}"
CO2Value,1780288014035,2026-06-01 12:26:54,480,"{""time"": 1780288014035, ""value"": ""480""}"
CO2Value,1780288019072,2026-06-01 12:26:59,478,"{""time"": 1780288019072, ""value"": ""478""}"
CO2Value,1780288024033,2026-06-01 12:27:04,478,"{""time"": 1780288024033, ""value"": ""478""}"
CO2Value,1780288029073,2026-06-01 12:27:09,481,"{""time"": 1780288029073, ""value"": ""481""}"
CO2Value,1780288034043,2026-06-01 12:27:14,481,"{""time"": 1780288034043, ""value"": ""481""}"
CO2Value,1780288039107,2026-06-01 12:27:19,481,"{""time"": 1780288039107, ""value"": ""481""}"
CO2Value,1780288044081,2026-06-01 12:27:24,480,"{""time"": 1780288044081, ""value"": ""480""}"
CO2Value,1780288049082,2026-06-01 12:27:29,481,"{""time"": 1780288049082, ""value"": ""481""}"
CO2Value,1780288054195,2026-06-01 12:27:34,480,"{""time"": 1780288054195, ""value"": ""480""}"
CO2Value,1780288059066,2026-06-01 12:27:39,479,"{""time"": 1780288059066, ""value"": ""479""}"
CO2Value,1780288064104,2026-06-01 12:27:44,480,"{""time"": 1780288064104, ""value"": ""480""}"
CO2Value,1780288069073,2026-06-01 12:27:49,481,"{""time"": 1780288069073, ""value"": ""481""}"
CO2Value,1780288074032,2026-06-01 12:27:54,483,"{""time"": 1780288074032, ""value"": ""483""}"
CO2Value,1780288079063,2026-06-01 12:27:59,480,"{""time"": 1780288079063, ""value"": ""480""}"
CO2Value,1780288084042,2026-06-01 12:28:04,480,"{""time"": 1780288084042, ""value"": ""480""}"
CO2Value,1780288089069,2026-06-01 12:28:09,478,"{""time"": 1780288089069, ""value"": ""478""}"
CO2Value,1780288094010,2026-06-01 12:28:14,477,"{""time"": 1780288094010, ""value"": ""477""}"
CO2Value,1780288099074,2026-06-01 12:28:19,478,"{""time"": 1780288099074, ""value"": ""478""}"
CO2Value,1780288104026,2026-06-01 12:28:24,480,"{""time"": 1780288104026, ""value"": ""480""}"
CO2Value,1780288109073,2026-06-01 12:28:29,484,"{""time"": 1780288109073, ""value"": ""484""}"
CO2Value,1780288114033,2026-06-01 12:28:34,482,"{""time"": 1780288114033, ""value"": ""482""}"
CO2Value,1780288119073,2026-06-01 12:28:39,482,"{""time"": 1780288119073, ""value"": ""482""}"
CO2Value,1780288124097,2026-06-01 12:28:44,482,"{""time"": 1780288124097, ""value"": ""482""}"
CO2Value,1780288129049,2026-06-01 12:28:49,481,"{""time"": 1780288129049, ""value"": ""481""}"
CO2Value,1780288134032,2026-06-01 12:28:54,482,"{""time"": 1780288134032, ""value"": ""482""}"
CO2Value,1780288139083,2026-06-01 12:28:59,484,"{""time"": 1780288139083, ""value"": ""484""}"
CO2Value,1780288144030,2026-06-01 12:29:04,481,"{""time"": 1780288144030, ""value"": ""481""}"
CO2Value,1780288149072,2026-06-01 12:29:09,481,"{""time"": 1780288149072, ""value"": ""481""}"
CO2Value,1780288154034,2026-06-01 12:29:14,480,"{""time"": 1780288154034, ""value"": ""480""}"
CO2Value,1780288159047,2026-06-01 12:29:19,479,"{""time"": 1780288159047, ""value"": ""479""}"
CO2Value,1780288164030,2026-06-01 12:29:24,479,"{""time"": 1780288164030, ""value"": ""479""}"
CO2Value,1780288169064,2026-06-01 12:29:29,476,"{""time"": 1780288169064, ""value"": ""476""}"
CO2Value,1780288174043,2026-06-01 12:29:34,473,"{""time"": 1780288174043, ""value"": ""473""}"
CO2Value,1780288179075,2026-06-01 12:29:39,473,"{""time"": 1780288179075, ""value"": ""473""}"
CO2Value,1780288184009,2026-06-01 12:29:44,472,"{""time"": 1780288184009, ""value"": ""472""}"
CO2Value,1780288189074,2026-06-01 12:29:49,471,"{""time"": 1780288189074, ""value"": ""471""}"
CO2Value,1780288194045,2026-06-01 12:29:54,471,"{""time"": 1780288194045, ""value"": ""471""}"
CO2Value,1780288199042,2026-06-01 12:29:59,470,"{""time"": 1780288199042, ""value"": ""470""}"
CO2Value,1780288204025,2026-06-01 12:30:04,468,"{""time"": 1780288204025, ""value"": ""468""}"
CO2Value,1780288209043,2026-06-01 12:30:09,466,"{""time"": 1780288209043, ""value"": ""466""}"
CO2Value,1780288214010,2026-06-01 12:30:14,466,"{""time"": 1780288214010, ""value"": ""466""}"
CO2Value,1780288219079,2026-06-01 12:30:19,468,"{""time"": 1780288219079, ""value"": ""468""}"
CO2Value,1780288224031,2026-06-01 12:30:24,468,"{""time"": 1780288224031, ""value"": ""468""}"
