属性标识符,时间(ms),时间,属性值,原始JSON
CO2Value,1780275878063,2026-06-01 09:04:38,626,"{""time"": 1780275878063, ""value"": ""626""}"
CO2Value,1780275883054,2026-06-01 09:04:43,623,"{""time"": 1780275883054, ""value"": ""623""}"
CO2Value,1780275888037,2026-06-01 09:04:48,438,"{""time"": 1780275888037, ""value"": ""438""}"
CO2Value,1780275893052,2026-06-01 09:04:53,436,"{""time"": 1780275893052, ""value"": ""436""}"
CO2Value,1780275898042,2026-06-01 09:04:58,440,"{""time"": 1780275898042, ""value"": ""440""}"
CO2Value,1780275903054,2026-06-01 09:05:03,442,"{""time"": 1780275903054, ""value"": ""442""}"
CO2Value,1780275908048,2026-06-01 09:05:08,443,"{""time"": 1780275908048, ""value"": ""443""}"
CO2Value,1780275913041,2026-06-01 09:05:13,445,"{""time"": 1780275913041, ""value"": ""445""}"
CO2Value,1780275918131,2026-06-01 09:05:18,446,"{""time"": 1780275918131, ""value"": ""446""}"
CO2Value,1780275923046,2026-06-01 09:05:23,448,"{""time"": 1780275923046, ""value"": ""448""}"
CO2Value,1780275928055,2026-06-01 09:05:28,455,"{""time"": 1780275928055, ""value"": ""455""}"
CO2Value,1780275933051,2026-06-01 09:05:33,457,"{""time"": 1780275933051, ""value"": ""457""}"
CO2Value,1780275938050,2026-06-01 09:05:38,458,"{""time"": 1780275938050, ""value"": ""458""}"
CO2Value,1780275943049,2026-06-01 09:05:43,459,"{""time"": 1780275943049, ""value"": ""459""}"
CO2Value,1780275948048,2026-06-01 09:05:48,463,"{""time"": 1780275948048, ""value"": ""463""}"
CO2Value,1780275953050,2026-06-01 09:05:53,465,"{""time"": 1780275953050, ""value"": ""465""}"
CO2Value,1780275958058,2026-06-01 09:05:58,466,"{""time"": 1780275958058, ""value"": ""466""}"
CO2Value,1780275963045,2026-06-01 09:06:03,469,"{""time"": 1780275963045, ""value"": ""469""}"
CO2Value,1780275968049,2026-06-01 09:06:08,471,"{""time"": 1780275968049, ""value"": ""471""}"
CO2Value,1780275973048,2026-06-01 09:06:13,472,"{""time"": 1780275973048, ""value"": ""472""}"
CO2Value,1780275978048,2026-06-01 09:06:18,472,"{""time"": 1780275978048, ""value"": ""472""}"
CO2Value,1780275983047,2026-06-01 09:06:23,471,"{""time"": 1780275983047, ""value"": ""471""}"
CO2Value,1780275988047,2026-06-01 09:06:28,470,"{""time"": 1780275988047, ""value"": ""470""}"
CO2Value,1780275993047,2026-06-01 09:06:33,471,"{""time"": 1780275993047, ""value"": ""471""}"
CO2Value,1780275998047,2026-06-01 09:06:38,474,"{""time"": 1780275998047, ""value"": ""474""}"
CO2Value,1780276003043,2026-06-01 09:06:43,476,"{""time"": 1780276003043, ""value"": ""476""}"
CO2Value,1780276008048,2026-06-01 09:06:48,477,"{""time"": 1780276008048, ""value"": ""477""}"
CO2Value,1780276013042,2026-06-01 09:06:53,474,"{""time"": 1780276013042, ""value"": ""474""}"
CO2Value,1780276018047,2026-06-01 09:06:58,474,"{""time"": 1780276018047, ""value"": ""474""}"
CO2Value,1780276023046,2026-06-01 09:07:03,476,"{""time"": 1780276023046, ""value"": ""476""}"
CO2Value,1780276028047,2026-06-01 09:07:08,476,"{""time"": 1780276028047, ""value"": ""476""}"
CO2Value,1780276033047,2026-06-01 09:07:13,477,"{""time"": 1780276033047, ""value"": ""477""}"
CO2Value,1780276038048,2026-06-01 09:07:18,478,"{""time"": 1780276038048, ""value"": ""478""}"
CO2Value,1780276043045,2026-06-01 09:07:23,478,"{""time"": 1780276043045, ""value"": ""478""}"
CO2Value,1780276048042,2026-06-01 09:07:28,478,"{""time"": 1780276048042, ""value"": ""478""}"
CO2Value,1780276053047,2026-06-01 09:07:33,479,"{""time"": 1780276053047, ""value"": ""479""}"
CO2Value,1780276058040,2026-06-01 09:07:38,479,"{""time"": 1780276058040, ""value"": ""479""}"
CO2Value,1780276063052,2026-06-01 09:07:43,478,"{""time"": 1780276063052, ""value"": ""478""}"
CO2Value,1780276068039,2026-06-01 09:07:48,480,"{""time"": 1780276068039, ""value"": ""480""}"
CO2Value,1780276073039,2026-06-01 09:07:53,479,"{""time"": 1780276073039, ""value"": ""479""}"
CO2Value,1780276078048,2026-06-01 09:07:58,479,"{""time"": 1780276078048, ""value"": ""479""}"
CO2Value,1780276083038,2026-06-01 09:08:03,479,"{""time"": 1780276083038, ""value"": ""479""}"
CO2Value,1780276088061,2026-06-01 09:08:08,478,"{""time"": 1780276088061, ""value"": ""478""}"
CO2Value,1780276093038,2026-06-01 09:08:13,479,"{""time"": 1780276093038, ""value"": ""479""}"
CO2Value,1780276098038,2026-06-01 09:08:18,480,"{""time"": 1780276098038, ""value"": ""480""}"
CO2Value,1780276103051,2026-06-01 09:08:23,481,"{""time"": 1780276103051, ""value"": ""481""}"
CO2Value,1780276108042,2026-06-01 09:08:28,480,"{""time"": 1780276108042, ""value"": ""480""}"
CO2Value,1780276113046,2026-06-01 09:08:33,478,"{""time"": 1780276113046, ""value"": ""478""}"
